Airfoils,AoT_Cl0.5,Cd,Cl/Cd
NACA 66(2)-215,2.2,0.01356,36.87315634
NACA 66(2)-415,0.5,0.01321,37.85011355
NACA 66(3)-218,2.2,0.01482,33.73819163
NACA 66(3)-418,0.5,0.01398,35.76537911
NACA 66(4)-221,2.1,0.01617,30.92145949
NACA 67,2.2,0.01408,35.51136364
NACA 22112,3.2,0.0137,36.49635036
NACA 23012  12%,2.8,0.01509,33.13452618
NACA 23015,2.7,0.01516,32.98153034
NACA 23018,2.6,0.01527,32.74394237
NACA 23021,2.5,0.01737,28.78526195
NACA 23024,2.4,0.01589,31.46633103
NACA 23112,3.1,0.01329,37.62227239
NACA 24112,3.2,0.01399,35.73981415
NACA 25112,3.1,0.01407,35.5366027
NACA-0009 9.0% smoothed,4.1,0.0116,43.10344828
NACA 0012,4,0.01413,35.38570418
NACA 2414,1.8,0.0164,30.48780488
NACA 2415,1.7,0.01687,29.63841138
NACA6409 9%,-2.3,0.01027,48.68549172
NACA 0006,4.4,0.01137,43.97537379
NACA 0008,4.3,0.01037,48.21600771
NACA 0010,4.2,0.01299,38.49114704
NACA0012H,3.9,0.01511,33.09066843
NACA 0015,3.9,0.01617,30.92145949
NACA 0018,3.8,0.01535,32.5732899
NACA 0021,3.7,0.01791,27.9173646
NACA 0024,3.7,0.02057,24.30724356
NACA 1408,3.1,0.01095,45.66210046
NACA 1410,3,0.01284,38.94080997
NACA 1412,2.9,0.01241,40.29008864
NACA 2408,2,0.01025,48.7804878
NACA 2410,1.9,0.01117,44.76275739
NACA 2.5411,1.3,0.01076,46.46840149
NACA 2412,1.8,0.01237,40.42037187
NACA 2418,1.5,0.01522,32.85151117
NACA 2421,1.4,0.01945,25.70694087
NACA 2424,1.4,0.013,38.46153846
NACA 4412,-0.4,0.01275,39.21568627
NACA 4415,-0.4,0.01179,42.40882103
NACA 4418,-0.7,0.01534,32.59452412
NACA 4421,-0.9,0.01896,26.37130802
NACA 4424,-0.8,0.01594,31.36762861
NACA 6412,-0.6,0.01271,39.33910307
NACA-M12,2.7,0.01565,31.94888179
NACA M6,4.3,0.01304,38.34355828
NACA M15,1.3,0.016,31.25
NACA M18,2.2,0.01627,30.7314075
NACA M21,0.8,0.01544,32.38341969
NACA M24,1.7,0.01671,29.92220227
NACA M27,0.2,0.01792,27.90178571
NACA M3,4.1,0.01417,35.2858151
NACA/Munk M6 (85%),3.6,0.01272,39.3081761
